Hand,2,3,4,5,6,7,8,9,10,11
20,S,S,S,S,S,S,S,S,S,S
19,S,S,S,S,S,S,S,S,S,S
18,S,S,S,S,S,S,S,S,S,S
17,S,S,S,S,S,S,S,S,S,S
16,S,S,S,S,S,H,H,H,H,H
15,S,S,S,S,S,H,H,H,H,H
14,S,S,S,S,S,H,H,H,H,H
13,S,S,S,S,S,H,H,H,H,H
12,H,H,S,S,S,H,H,H,H,H
11,D,D,D,D,D,D,D,D,D,H
10,D,D,D,D,D,D,D,D,H,H
9,D,D,D,D,D,H,H,H,H,H
8,H,H,H,H,H,H,H,H,H,H
7,H,H,H,H,H,H,H,H,H,H
6,H,H,H,H,H,H,H,H,H,H
5,H,H,H,H,H,H,H,H,H,H
4,H,H,H,H,H,H,H,H,H,H
Soft: 21,S,S,S,S,S,S,S,S,S,S
Soft: 20,S,S,S,S,S,S,S,S,S,S
Soft: 19,S,D,S,S,S,S,S,S,S,S
Soft: 18,S,S,D,D,D,S,S,H,H,H
Soft: 17,H,H,D,D,D,H,H,H,H,H
Soft: 16,H,D,D,D,D,H,H,H,H,H
Soft: 15,H,H,D,D,D,H,H,H,H,H
Soft: 14,H,H,H,D,D,H,H,H,H,H
Soft: 13,H,H,H,D,D,H,H,H,H,H
Soft: 12,H,H,S,S,S,H,H,H,H,H
Split: 11,P,P,P,P,P,P,P,P,P,P
Split: 10,S,S,S,S,S,S,S,S,S,S
Split: 9,P,P,P,P,P,S,P,P,S,P
Split: 8,P,P,P,P,P,P,P,H,P,P
Split: 7,P,P,P,P,P,H,P,H,H,H
Split: 6,P,P,P,P,P,H,H,H,H,H
Split: 5,D,D,D,D,D,D,D,D,H,H
Split: 4,H,P,P,P,H,H,H,H,H,H
Split: 3,P,P,P,P,P,P,P,H,H,H
Split: 2,H,P,P,P,P,P,H,H,H,H
